video_id,Comment,neg,neu,pos,compound
tXQ7G2p3hJ8,"Did anyone else notice that Chef Devaux is amazingly ambidextrous? This is awesome. Thank you How To Make Sushi ! After I try a few of your easier creations, I will embark on this Tiger Sushi for my mum! Michelle from Canada",0.0,0.751,0.249,0.9115
tXQ7G2p3hJ8,"Another absolutely incredible video. And to top it all, you are a talented artist.",0.0,0.702,0.298,0.6249
tXQ7G2p3hJ8,"You give such detailed, step by step directions. Thank you Chef Devaux. I shall try this when I gather the all the items!!",0.0,0.877,0.123,0.4738
tXQ7G2p3hJ8,It's so cool I love to make sushi and I will try this one day! It's brilliant! GOOD JOB!!!,0.0,0.489,0.511,0.949
tXQ7G2p3hJ8,WOW!!!!! You are truly an artist!!!! LOVE IT!! You make everything look so simple yet it is not!,0.0,0.526,0.474,0.9386
tXQ7G2p3hJ8,Love it ! You did an amazing job :D,0.0,0.327,0.673,0.9235
tXQ7G2p3hJ8,So creative and good for dining room decor. Love this channel <3,0.0,0.373,0.627,0.9254
tXQ7G2p3hJ8,"Beautiful work. I did the salmon tartar roll from your other video and loved it. If I ever get around to making the tiger I'll add a link. Thanks, Chef!",0.0,0.711,0.289,0.8999
tXQ7G2p3hJ8,"Absolutely brilliant!!!
DEFINITELY going to try this one!
And thank you so much for the Locust Bean Gum tip!
I used Agar Agar in a dessert recipe and hated the results as the gelee I was making was far too firm. In the future I will use your tip...thank you!
I just love your videos. They are well presented and your verbal instructions are very well articulated.
Thanks again",0.047,0.689,0.264,0.9591
tXQ7G2p3hJ8,You've topped everything you've done before with this one. Just amazing. Great job ,0.0,0.582,0.418,0.836
tXQ7G2p3hJ8,I like this video and all the other sushi art videos!!!! I have been watching these videos with my mom since 7 years old!,0.0,0.862,0.138,0.5673
tXQ7G2p3hJ8,"I love watching your videos, makes me want to try and make Sushi.",0.0,0.667,0.333,0.6705
tXQ7G2p3hJ8,That's Awesome. I'd be so afraid to see the pricetag for this item if I ordered it at a sushi bar lol.,0.0,0.743,0.257,0.7845
tXQ7G2p3hJ8,SO cool. This reminds me of the dragon one he did awhile back. I think these types of things are the most creative.,0.0,0.763,0.237,0.7593
tXQ7G2p3hJ8,That's a work of art! Wish I could taste it.,0.0,0.751,0.249,0.4574
tXQ7G2p3hJ8,"I wanted to try this but couldn't find all the ingredients, so instead this morning i made it with omelette and nori cut into strips then cut across into a triangular stripe. It worked really well, I just took out some egg white and added an extra yolk to make it more orange. next up, sushi safari",0.085,0.866,0.05,-0.2983
tXQ7G2p3hJ8,"This is SOOO awesome!! :D I will definitely share this on FB, that thumbnail alone got me to watch, so I'm sure my FB friends will watch it as well. :)",0.041,0.455,0.504,0.9698
tXQ7G2p3hJ8,Wow! Amazing job! Loved it!,0.0,0.139,0.861,0.9243
tXQ7G2p3hJ8,Shared! You do amazing work totally blown away by your talent!,0.0,0.455,0.545,0.8619
tXQ7G2p3hJ8,Thank you for this tutorial; it is wonderfully detailed. Will make a great centerpiece for the Clemson/LSU game January 13th!,0.0,0.612,0.388,0.8955
pB2Yf-EewJs,"I was brought here because of my love and admiration for sushi. You kept me here by just being you. You put our a ton of free, and otherwise expensive, knowledge out there. You have a kind and honest persona. You're easy to look at and watch. Your edits are really nice and you use very refreshing and chill-type music. And, last but not least, you make sushi more than just an art to show off to other people; you make it so it's possible others can do the same thing. One of the things on my bucket list is to grab a small crew and go around meeting all of the people I admire on my YouTube channel, then documenting it and see their reactions and such. I don't plan to meet everyone that I am subscribed to... just saying though, it would be fun to give the same courtesy to others as they do for the ""youtube"" community. ",0.0,0.847,0.153,0.9756
pB2Yf-EewJs,"I like watching your vids because not only are your directions clear and you show step by step how it should look, but it's always delicious and beautiful as well. ",0.0,0.601,0.399,0.9485
pB2Yf-EewJs,"I never cease to be impressed by your creativity & tutorials. (= A must-see channel for every sushi lover!
Thank you for inspiring me to make sushi myself over a year ago!",0.0,0.583,0.417,0.9558
pB2Yf-EewJs,"I love sushi...and you make each piece so artistic that it becomes addictive to watch...plus you have cool tricks like the wasabi flower, cucumber whale, and carrot leaves. Good job!",0.039,0.646,0.315,0.8932
pB2Yf-EewJs,"Because of your clean and slick sushi making skills, you made them look so easy! Clear explanations and straight to the point. Keep it up! These look amazingly delicious by the way ",0.0,0.631,0.369,0.9413
pB2Yf-EewJs,Chef Devaux instructional videos on to do it yourself sushi making for home cooks is indeed a unique added value. I highly recommend all sushi hobbyists to watch and follow him for his simplicity and perfection in an art that has been so far considered as being extremely difficult and complicated. My personal deep thanks for sharing your skilled knowledge Chef !,0.038,0.76,0.202,0.902
pB2Yf-EewJs,"I love your videos, their absolutely amazing, and I hope to try a recipe one of these days! ",0.0,0.566,0.434,0.9097
pB2Yf-EewJs,I watch them because I love making sushi myself and your recipes are always so refreshing and different makes me want to try different things as well. Keep up the great work.,0.0,0.705,0.295,0.8934
pB2Yf-EewJs,"I made this roll a few days ago. It's hella good. I want my sushi to be like restaurant sushi and I've kinda mastered it. Sometimes I have to tell myself Bae, you did that. This is excellent.",0.0,0.756,0.244,0.8737
